2025-10-01T20:45:02.221138743Z [inf]  2025-10-01 20:45:01,797 - KARMA-LiveBOT.Stats - INFO - 📱 No social media stats channels configured
2025-10-01T20:45:02.221146976Z [inf]  2025-10-01 20:45:02,074 - KARMA-LiveBOT.Stats - INFO - 📊 Running server stats update...
2025-10-01T20:45:02.221153104Z [inf]  2025-10-01 20:45:02,075 - KARMA-LiveBOT.Stats - INFO - 📊 No server stats channels configured
2025-10-01T20:45:32.223588627Z [inf]  2025-10-01 20:45:29,163 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T20:45:32.223596619Z [inf]  2025-10-01 20:45:29,640 - KARMA-LiveBOT - INFO - 🎮 tikzzay is LIVE on Twitch!
2025-10-01T20:45:32.223602767Z [inf]  2025-10-01 20:45:29,642 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=True
2025-10-01T20:45:32.223609465Z [inf]  2025-10-01 20:45:29,642 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on twitch: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:45:32.223615136Z [inf]  2025-10-01 20:45:31,738 - KARMA-LiveBOT - INFO - 🤖 Bot status updated: 🧟‍♂️💜Watching Twitch: 1
2025-10-01T20:46:02.226645489Z [inf]  2025-10-01 20:46:01,760 - KARMA-LiveBOT - INFO - 📊 STATS-UPDATE: Starting stats channels update...
2025-10-01T20:46:02.226655701Z [inf]  2025-10-01 20:46:01,761 - KARMA-LiveBOT - INFO - 📊 STATS-UPDATE: No stats channels configured
2025-10-01T20:46:32.229382380Z [inf]  2025-10-01 20:46:31,650 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T20:46:32.229393002Z [inf]  2025-10-01 20:46:31,770 - KARMA-LiveBOT - INFO - ✅ Keep-alive ping successful - preventing cloud sleep
2025-10-01T20:46:32.229399313Z [inf]  2025-10-01 20:46:32,130 - KARMA-LiveBOT - INFO - 🎮 tikzzay is LIVE on Twitch!
2025-10-01T20:46:32.229405831Z [inf]  2025-10-01 20:46:32,131 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=True
2025-10-01T20:46:32.229411721Z [inf]  2025-10-01 20:46:32,131 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on twitch: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:47:02.240036528Z [inf]  2025-10-01 20:46:54,230 - KARMA-LiveBOT - DEBUG - 🎵 Checking 2 TikTok creators
2025-10-01T20:47:02.240041624Z [inf]  2025-10-01 20:46:54,231 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Starte intelligente Live-Verifikation...
2025-10-01T20:47:02.240046130Z [inf]  2025-10-01 20:46:54,231 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste TikTokLive library...
2025-10-01T20:47:02.240050507Z [inf]  2025-10-01 20:46:54,702 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive async call erfolgreich: False
2025-10-01T20:47:02.240055224Z [inf]  2025-10-01 20:46:54,702 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library bestätigt - user offline
2025-10-01T20:47:02.240059772Z [inf]  2025-10-01 20:46:54,702 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library Ergebnis: False
2025-10-01T20:47:02.240063941Z [inf]  2025-10-01 20:46:54,702 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste HTML-Parsing von https://www.tiktok.com/@sturmpelz11...
2025-10-01T20:47:02.240069415Z [err]  2025-10-01 20:46:55,201 - KARMA-LiveBOT.TikTok - WARNING - TikTok sturmpelz11: SIGI_STATE nicht gefunden
2025-10-01T20:47:02.240073742Z [inf]  2025-10-01 20:46:55,203 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: HTML-Parsing Ergebnis: False
2025-10-01T20:47:02.240078342Z [inf]  2025-10-01 20:46:55,203 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: ❌ Beide Methoden bestätigen - User offline
2025-10-01T20:47:02.240082454Z [inf]  2025-10-01 20:46:55,204 - KARMA-LiveBOT - INFO - Handling stream status for ✨Sturmpelz✨ on tiktok: is_live=False
2025-10-01T20:47:02.240086672Z [inf]  2025-10-01 20:46:57,206 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Starte intelligente Live-Verifikation...
2025-10-01T20:47:02.240091009Z [inf]  2025-10-01 20:46:57,206 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste TikTokLive library...
2025-10-01T20:47:02.240095181Z [inf]  2025-10-01 20:46:57,585 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive async call erfolgreich: True
2025-10-01T20:47:02.240098851Z [inf]  2025-10-01 20:46:57,586 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library bestätigt - user LIVE ✅
2025-10-01T20:47:02.240103248Z [inf]  2025-10-01 20:46:57,586 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library Ergebnis: True
2025-10-01T20:47:02.240108115Z [inf]  2025-10-01 20:46:57,586 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste HTML-Parsing von https://www.tiktok.com/@tikzzay...
2025-10-01T20:47:02.240111931Z [err]  2025-10-01 20:46:58,043 - KARMA-LiveBOT.TikTok - WARNING - TikTok tikzzay: SIGI_STATE nicht gefunden
2025-10-01T20:47:02.240116264Z [inf]  2025-10-01 20:46:58,051 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: HTML-Parsing Ergebnis: False
2025-10-01T20:47:02.240119863Z [inf]  2025-10-01 20:46:58,051 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: ✅ LIVE bestätigt via TikTokLive library (zuverlässig)!
2025-10-01T20:47:02.240124581Z [inf]  2025-10-01 20:46:58,051 - KARMA-LiveBOT - INFO - 🎵 tikzzay is LIVE on TikTok!
2025-10-01T20:47:02.240128769Z [inf]  2025-10-01 20:46:58,052 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on tiktok: is_live=True
2025-10-01T20:47:02.240133360Z [inf]  2025-10-01 20:46:58,052 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on tiktok: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:47:02.240140875Z [inf]  2025-10-01 20:47:01,774 - KARMA-LiveBOT - INFO - 📱 SOCIAL-MEDIA-UPDATE: Starting social media stats channels update...
2025-10-01T20:47:02.240145017Z [inf]  2025-10-01 20:47:01,775 - KARMA-LiveBOT - INFO - 📱 SOCIAL-MEDIA-UPDATE: No social media stats channels configured
2025-10-01T20:47:32.239008412Z [inf]  2025-10-01 20:47:31,801 - KARMA-LiveBOT - INFO - 🔧 TIKTOK-RECOVERY: Starting TikTok task recovery check...
2025-10-01T20:47:32.239017826Z [inf]  2025-10-01 20:47:31,802 - KARMA-LiveBOT - INFO - 🔧 TIKTOK-RECOVERY: Checking 2 TikTok creators...
