2025-10-01T12:27:50.669865098Z [inf]  2025-10-01 12:27:48,216 - KARMA-LiveBOT - INFO - 🤖 Bot status updated: 🧟❤️Watching Youtube: 1
2025-10-01T12:27:50.669870470Z [inf]  2025-10-01 12:27:48,329 - KARMA-LiveBOT - INFO - 🎭 LIVE-ROLE-CLEANUP: Starting live role cleanup check...
2025-10-01T12:27:50.669875888Z [inf]  2025-10-01 12:27:48,329 - KARMA-LiveBOT - INFO - 🎭 Found 1 members with live role in KARMA COM. SERVER
2025-10-01T12:27:50.669881599Z [inf]  2025-10-01 12:27:48,330 - KARMA-LiveBOT - DEBUG - ✓ ✨Sturmpelz✨ has live role and is live on 1 platform(s)
2025-10-01T12:27:50.669887064Z [inf]  2025-10-01 12:27:48,330 - KARMA-LiveBOT - INFO - 🎭 LIVE-ROLE-CLEANUP: Completed - Checked 1 users, removed 0 stale roles
2025-10-01T12:27:55.493900709Z [inf]  2025-10-01 12:27:55,490 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T12:27:55.819787468Z [inf]  2025-10-01 12:27:55,816 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=False
2025-10-01T12:28:25.819169326Z [inf]  2025-10-01 12:28:19,160 - KARMA-LiveBOT.Stats - INFO - 📊 Running server stats update...
2025-10-01T12:28:25.819173143Z [inf]  2025-10-01 12:28:19,161 - KARMA-LiveBOT.Stats - INFO - 📊 No server stats channels configured
2025-10-01T12:29:05.822595778Z [inf]  2025-10-01 12:28:57,822 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T12:29:05.822600253Z [inf]  2025-10-01 12:28:58,160 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=False
2025-10-01T12:29:45.832620603Z [inf]  2025-10-01 12:29:38,345 - KARMA-LiveBOT - DEBUG - 🎵 Checking 2 TikTok creators
2025-10-01T12:29:45.832628746Z [inf]  2025-10-01 12:29:38,345 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Starte intelligente Live-Verifikation...
2025-10-01T12:29:45.832633769Z [inf]  2025-10-01 12:29:38,345 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste TikTokLive library...
2025-10-01T12:29:45.832637856Z [inf]  2025-10-01 12:29:38,741 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive async call erfolgreich: True
2025-10-01T12:29:45.832641858Z [inf]  2025-10-01 12:29:38,741 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library bestätigt - user LIVE ✅
2025-10-01T12:29:45.832646094Z [inf]  2025-10-01 12:29:38,741 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library Ergebnis: True
2025-10-01T12:29:45.832650274Z [inf]  2025-10-01 12:29:38,741 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste HTML-Parsing von https://www.tiktok.com/@sturmpelz11...
2025-10-01T12:29:45.832655962Z [err]  2025-10-01 12:29:39,181 - KARMA-LiveBOT.TikTok - WARNING - TikTok sturmpelz11: SIGI_STATE nicht gefunden
2025-10-01T12:29:45.832660638Z [inf]  2025-10-01 12:29:39,183 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: HTML-Parsing Ergebnis: False
2025-10-01T12:29:45.832664842Z [inf]  2025-10-01 12:29:39,183 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: ✅ LIVE bestätigt via TikTokLive library (zuverlässig)!
